file,blockType,key,legacySection,font,fontStyle,fontSize,bold,italic,legacyFontId,legacyFontComment,knownFontCatalogEntry,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,GuiText,game.buttonlayout1024.text.text,ChatTextRect,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiText,game.buttonlayout1280.text.help,HelpText,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.default_attack_defunct,Button0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.short_range_attack_defunct,Button1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.medium_attack_defunct,Button2,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.l_attack_defunct,Button3,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.jump,Button4,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.run,Button5,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.guard,Button6,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.fire_from_current_pos,Button7,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.stop,Button8,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.info,Button9,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.objectives,Button10,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.pause_button_com_palette,Button11,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.tac_map_tab,Button12,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.info_tab,Button13,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.support_tab,Button14,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.minelayer,Button15,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.repair,Button16,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.salvage,Button17,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,GuiButton,game.buttonlayout1280.button.artillery_piece_supression_fire,Button18,Agency Regular,Regular,14,false,false,,,true,false
