file,key,legacySection,legacyComment,rect,textKey,visibleText,textLegacyId,textLegacySymbol,textAlign,textAnchor,hasTextRect,font,fontStyle,fontSize,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.exit,PauseButton5,exit,"888,251,128,22",legacy.mc2res.43005,EXIT GAME,43005,IDS_EXIT,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1024.fit,game.buttonlayout1024.button.return_to_game,PauseButton6,return to game,"888,278,128,22",legacy.mc2res.43006,RETURN TO GAME,43006,IDS_RETURN_TOGAME,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.default_attack_defunct,Button0,default attack- DEFUNCT,"1012,851,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.short_range_attack_defunct,Button1,short range attack DEFUNCT,"1080,851,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.medium_attack_defunct,Button2,medium attack  DEFUNCT,"1012,895,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.l_attack_defunct,Button3,l attack DEFUNCT,"1080,895,64,40",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.jump,Button4,jump,"1079,859,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.run,Button5,run,"1013,859,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.guard,Button6,guard,"1013,920,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.fire_from_current_pos,Button7,fire from current pos,"1013,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.stop,Button8,stop,"1079,920,64,59",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.info,Button9,info,"1057,820,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.objectives,Button10,objectives,"1013,820,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.pause_button_com_palette,Button11,PAUSE BUTTON - COM PALETTE,"1101,820,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.tac_map_tab,Button12,tac map tab,"128,757,72,47",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.info_tab,Button13,info tab,"278,757,72,47",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.support_tab,Button14,support tab,"203,757,72,47",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.minelayer,Button15,minelayer,"1101,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.repair,Button16,repair,"1101,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.salvage,Button17,salvage,"1101,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.artillery_piece_supression_fire,Button18,artillery piece supression fire,"1101,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.hold_position,Button19,hold position,"1057,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout1280.fit,game.buttonlayout1280.button.filler_button,Button20,filler button,"1101,982,42,36",,,,,center,center,false,Agency Regular,Regular,14,false
